度	0
娠	1
洎	2
锣	3
趸	4
掊	5
琰	6
窀	7
炖	8
褪	9
附	10
颠	11
债	12
伐	13
鸰	14
坷	15
嚎	16
舱	17
禽	18
潜	19
副	20
缠	21
载	22
蜾	23
恰	24
雌	25
八	26
簏	27
呶	28
签	29
炳	30
撸	31
行	32
败	33
挈	34
睨	35
僬	36
间	37
卸	38
洹	39
柔	40
陋	41
界	42
芒	43
孝	44
贩	45
邃	46
柿	47
咻	48
脧	49
制	50
唣	51
猖	52
羲	53
烩	54
拖	55
浜	56
西	57
楠	58
苅	59
次	60
怔	61
紫	62
睿	63
肉	64
占	65
详	66
默	67
澍	68
盎	69
洌	70
鐾	71
娜	72
违	73
华	74
渫	75
掷	76
摊	77
构	78
饶	79
剅	80
龀	81
飑	82
瓤	83
捡	84
唾	85
吝	86
聩	87
周	88
饿	89
彻	90
班	91
绲	92
吊	93
匍	94
捌	95
欢	96
垌	97
扁	98
虹	99
惯	100
忝	101
境	102
秫	103
怆	104
褒	105
耠	106
贷	107
聿	108
揠	109
雾	110
熟	111
描	112
耶	113
檄	114
走	115
遭	116
垢	117
刭	118
欤	119
领	120
械	121
庸	122
俏	123
顷	124
誓	125
裳	126
乘	127
蹈	128
熔	129
蒇	130
且	131
屣	132
逢	133
弊	134
炎	135
浚	136
坚	137
匕	138
搐	139
沦	140
亏	141
码	142
瘁	143
徽	144
烨	145
醋	146
胜	147
蹢	148
宸	149
男	150
鲠	151
绚	152
颜	153
脏	154
笤	155
扛	156
彧	157
锻	158
猎	159
羞	160
赵	161
闱	162
唧	163
皿	164
鼎	165
呐	166
姹	167
雷	168
览	169
波	170
裤	171
讥	172
撩	173
鲊	174
种	175
滢	176
妒	177
眸	178
羁	179
廋	180
盂	181
羡	182
啬	183
芯	184
单	185
沉	186
朐	187
投	188
窿	189
渊	190
逻	191
姐	192
缸	193
右	194
砭	195
缛	196
嗒	197
左	198
疑	199
惑	200
纂	201
嘻	202
矢	203
凡	204
咳	205
期	206
窠	207
尧	208
靓	209
圹	210
汉	211
队	212
芊	213
藜	214
劣	215
嗝	216
衰	217
愔	218
泖	219
氛	220
几	221
擤	222
粲	223
缳	224
徊	225
隆	226
经	227
凰	228
津	229
极	230
焕	231
基	232
乖	233
鲨	234
幺	235
灭	236
愁	237
泼	238
缟	239
地	240
滗	241
躺	242
襻	243
舵	244
赠	245
帐	246
胳	247
悟	248
叽	249
烫	250
骑	251
然	252
巴	253
枉	254
蹽	255
瑙	256
员	257
纺	258
伛	259
况	260
镶	261
咙	262
此	263
